player_id,value,value_group,value_date
10001,140,1,8/26/2021
10002,0,1,8/26/2021
10003,100,1,8/26/2021
10004,0,1,8/26/2021
10005,140,1,8/26/2021
10006,0,1,8/26/2021
10007,0,1,8/26/2021
10008,575,1,8/26/2021
10009,0,1,8/26/2021
10010,0,1,8/26/2021
10011,0,1,8/26/2021
10012,0,1,8/26/2021
10013,0,1,8/26/2021
10014,0,1,8/26/2021
10015,250,1,8/26/2021
10016,0,1,8/26/2021
10017,0,1,8/26/2021
10018,0,1,8/26/2021
10019,0,1,8/26/2021
10020,12,1,8/26/2021
10021,0,1,8/26/2021
10022,0,1,8/26/2021
10023,25,1,8/26/2021
10024,0,1,8/26/2021
10025,0,1,8/26/2021
10026,20,1,8/26/2021
10027,575,1,8/26/2021
10028,0,1,8/26/2021
10029,0,1,8/26/2021
10030,0,1,8/26/2021
10031,575,1,8/26/2021
10032,0,1,8/26/2021
10033,0,1,8/26/2021
10034,390,1,8/26/2021
10035,0,1,8/26/2021
10036,575,1,8/26/2021
10037,0,1,8/26/2021
10038,150,1,8/26/2021
10039,0,1,8/26/2021
10040,100,1,8/26/2021
10041,25,1,8/26/2021
10042,0,1,8/26/2021
10043,0,1,8/26/2021
10044,0,1,8/26/2021
10045,650,1,8/26/2021
10046,0,1,8/26/2021
10047,0,1,8/26/2021
10048,0,1,8/26/2021
10049,0,1,8/26/2021
10050,0,1,8/26/2021
10051,0,1,8/26/2021
10052,0,1,8/26/2021
10053,0,1,8/26/2021
10054,0,1,8/26/2021
10055,0,1,8/26/2021
10056,0,1,8/26/2021
10057,0,1,8/26/2021
10058,0,1,8/26/2021
10059,0,1,8/26/2021
10060,0,1,8/26/2021
10061,90,1,8/26/2021
10062,0,1,8/26/2021
10063,100,1,8/26/2021
10064,0,1,8/26/2021
10065,0,1,8/26/2021
10066,0,1,8/26/2021
10067,0,1,8/26/2021
10068,0,1,8/26/2021
10069,0,1,8/26/2021
10070,0,1,8/26/2021
10071,65,1,8/26/2021
10072,0,1,8/26/2021
10073,140,1,8/26/2021
10074,0,1,8/26/2021
10075,0,1,8/26/2021
10076,110,1,8/26/2021
10077,0,1,8/26/2021
10078,0,1,8/26/2021
10079,100,1,8/26/2021
10080,0,1,8/26/2021
10081,0,1,8/26/2021
10082,0,1,8/26/2021
10083,10,1,8/26/2021
10084,0,1,8/26/2021
10085,0,1,8/26/2021
10086,0,1,8/26/2021
10087,0,1,8/26/2021
10088,0,1,8/26/2021
10089,0,1,8/26/2021
10090,0,1,8/26/2021
10091,25,1,8/26/2021
10092,150,1,8/26/2021
10093,0,1,8/26/2021
10094,0,1,8/26/2021
10095,325,1,8/26/2021
10096,0,1,8/26/2021
10097,0,1,8/26/2021
10098,0,1,8/26/2021
10099,400,1,8/26/2021
10100,0,1,8/26/2021
10101,0,1,8/26/2021
10102,650,1,8/26/2021
10103,0,1,8/26/2021
10104,90,1,8/26/2021
10105,10,1,8/26/2021
10106,0,1,8/26/2021
10107,0,1,8/26/2021
10108,0,1,8/26/2021
10109,150,1,8/26/2021
10110,0,1,8/26/2021
10111,100,1,8/26/2021
10112,0,1,8/26/2021
10113,625,1,8/26/2021
10114,250,1,8/26/2021
10115,65,1,8/26/2021
10116,0,1,8/26/2021
10117,0,1,8/26/2021
10118,0,1,8/26/2021
10119,0,1,8/26/2021
10120,0,1,8/26/2021
10121,50,1,8/26/2021
10122,0,1,8/26/2021
10123,180,1,8/26/2021
10124,0,1,8/26/2021
10125,20,1,8/26/2021
10126,0,1,8/26/2021
10127,30,1,8/26/2021
10128,70,1,8/26/2021
10129,0,1,8/26/2021
10130,0,1,8/26/2021
10131,0,1,8/26/2021
10132,55,1,8/26/2021
10133,0,1,8/26/2021
10134,0,1,8/26/2021
10135,0,1,8/26/2021
10136,0,1,8/26/2021
10137,150,1,8/26/2021
10138,0,1,8/26/2021
10139,0,1,8/26/2021
10140,975,1,8/26/2021
10141,0,1,8/26/2021
10142,225,1,8/26/2021
10143,325,1,8/26/2021
10144,30,1,8/26/2021
10145,0,1,8/26/2021
10146,0,1,8/26/2021
10147,12,1,8/26/2021
10148,0,1,8/26/2021
10149,0,1,8/26/2021
10150,0,1,8/26/2021
10151,650,1,8/26/2021
10152,0,1,8/26/2021
10153,20,1,8/26/2021
10154,150,1,8/26/2021
10155,0,1,8/26/2021
10156,0,1,8/26/2021
10157,0,1,8/26/2021
10158,0,1,8/26/2021
10159,0,1,8/26/2021
10160,625,1,8/26/2021
10161,0,1,8/26/2021
10162,0,1,8/26/2021
10163,375,1,8/26/2021
10164,140,1,8/26/2021
10165,15,1,8/26/2021
10166,0,1,8/26/2021
10167,625,1,8/26/2021
10168,0,1,8/26/2021
10169,0,1,8/26/2021
10170,120,1,8/26/2021
10171,0,1,8/26/2021
10172,110,1,8/26/2021
10173,0,1,8/26/2021
10174,0,1,8/26/2021
10175,0,1,8/26/2021
10176,0,1,8/26/2021
10177,0,1,8/26/2021
10178,325,1,8/26/2021
10179,65,1,8/26/2021
10180,0,1,8/26/2021
10181,0,1,8/26/2021
10182,30,1,8/26/2021
10183,0,1,8/26/2021
10184,0,1,8/26/2021
10185,0,1,8/26/2021
10186,0,1,8/26/2021
10187,0,1,8/26/2021
10188,0,1,8/26/2021
10189,20,1,8/26/2021
10190,0,1,8/26/2021
10191,110,1,8/26/2021
10192,0,1,8/26/2021
10193,180,1,8/26/2021
10194,0,1,8/26/2021
10195,55,1,8/26/2021
10196,0,1,8/26/2021
10197,0,1,8/26/2021
10198,140,1,8/26/2021
10199,0,1,8/26/2021
10200,30,1,8/26/2021
10201,0,1,8/26/2021
10202,0,1,8/26/2021
10203,120,1,8/26/2021
10204,20,1,8/26/2021
10205,0,1,8/26/2021
10206,375,1,8/26/2021
10207,85,1,8/26/2021
10208,0,1,8/26/2021
10209,540,1,8/26/2021
10210,0,1,8/26/2021
10211,0,1,8/26/2021
10212,230,1,8/26/2021
10213,55,1,8/26/2021
10214,0,1,8/26/2021
10215,50,1,8/26/2021
10216,0,1,8/26/2021
10217,0,1,8/26/2021
10218,0,1,8/26/2021
10219,0,1,8/26/2021
10220,15,1,8/26/2021
10221,25,1,8/26/2021
10222,0,1,8/26/2021
10223,0,1,8/26/2021
10224,0,1,8/26/2021
10225,0,1,8/26/2021
10226,0,1,8/26/2021
10227,25,1,8/26/2021
10228,0,1,8/26/2021
10229,0,1,8/26/2021
10230,0,1,8/26/2021
10231,0,1,8/26/2021
10232,50,1,8/26/2021
10233,0,1,8/26/2021
10234,0,1,8/26/2021
10235,80,1,8/26/2021
10236,390,1,8/26/2021
10237,0,1,8/26/2021
10238,0,1,8/26/2021
10239,50,1,8/26/2021
10240,375,1,8/26/2021
10241,0,1,8/26/2021
10242,15,1,8/26/2021
10243,0,1,8/26/2021
10244,0,1,8/26/2021
10245,0,1,8/26/2021
10246,0,1,8/26/2021
10247,375,1,8/26/2021
10248,600,1,8/26/2021
10249,15,1,8/26/2021
10250,0,1,8/26/2021
10251,0,1,8/26/2021
10252,80,1,8/26/2021
10253,600,1,8/26/2021
10254,0,1,8/26/2021
10255,85,1,8/26/2021
10256,0,1,8/26/2021
10257,0,1,8/26/2021
10258,230,1,8/26/2021
10259,0,1,8/26/2021
10260,0,1,8/26/2021
10261,675,1,8/26/2021
10262,400,1,8/26/2021
10263,0,1,8/26/2021
10264,1200,1,8/26/2021
10265,85,1,8/26/2021
10266,0,1,8/26/2021
10267,225,1,8/26/2021
10268,10,1,8/26/2021
10269,0,1,8/26/2021
10270,0,1,8/26/2021
10271,0,1,8/26/2021
10272,0,1,8/26/2021
10273,0,1,8/26/2021
10274,0,1,8/26/2021
10275,0,1,8/26/2021
10276,0,1,8/26/2021
10277,0,1,8/26/2021
10278,475,1,8/26/2021
10279,0,1,8/26/2021
10280,0,1,8/26/2021
10281,0,1,8/26/2021
10282,0,1,8/26/2021
10283,0,1,8/26/2021
10284,0,1,8/26/2021
10285,90,1,8/26/2021
10286,0,1,8/26/2021
10287,0,1,8/26/2021
10288,0,1,8/26/2021
10289,0,1,8/26/2021
10290,12,1,8/26/2021
10291,0,1,8/26/2021
10292,0,1,8/26/2021
10293,325,1,8/26/2021
10294,55,1,8/26/2021
10295,0,1,8/26/2021
10296,0,1,8/26/2021
10297,0,1,8/26/2021
10298,0,1,8/26/2021
10299,80,1,8/26/2021
10300,0,1,8/26/2021
10301,0,1,8/26/2021
10302,0,1,8/26/2021
10303,0,1,8/26/2021
10304,0,1,8/26/2021
10305,975,1,8/26/2021
10306,0,1,8/26/2021
10307,775,1,8/26/2021
10308,0,1,8/26/2021
10309,225,1,8/26/2021
10310,0,1,8/26/2021
10311,0,1,8/26/2021
10312,12,1,8/26/2021
10313,25,1,8/26/2021
10314,0,1,8/26/2021
10315,375,1,8/26/2021
10316,0,1,8/26/2021
10317,0,1,8/26/2021
10318,0,1,8/26/2021
10319,55,1,8/26/2021
10320,15,1,8/26/2021
10321,0,1,8/26/2021
10322,0,1,8/26/2021
10323,0,1,8/26/2021
10324,120,1,8/26/2021
10325,0,1,8/26/2021
10326,0,1,8/26/2021
10327,0,1,8/26/2021
10328,0,1,8/26/2021
10329,0,1,8/26/2021
10330,100,1,8/26/2021
10331,50,1,8/26/2021
10332,20,1,8/26/2021
10333,0,1,8/26/2021
10334,0,1,8/26/2021
10335,180,1,8/26/2021
10336,825,1,8/26/2021
10337,0,1,8/26/2021
10338,0,1,8/26/2021
10339,0,1,8/26/2021
10340,0,1,8/26/2021
10341,900,1,8/26/2021
10342,0,1,8/26/2021
10343,0,1,8/26/2021
10344,0,1,8/26/2021
10345,85,1,8/26/2021
10346,775,1,8/26/2021
10347,0,1,8/26/2021
10348,180,1,8/26/2021
10349,0,1,8/26/2021
10350,0,1,8/26/2021
10351,0,1,8/26/2021
10352,180,1,8/26/2021
10353,0,1,8/26/2021
10354,0,1,8/26/2021
10355,0,1,8/26/2021
10356,0,1,8/26/2021
10357,0,1,8/26/2021
10358,0,1,8/26/2021
10359,0,1,8/26/2021
10360,400,1,8/26/2021
10361,20,1,8/26/2021
10362,0,1,8/26/2021
10363,80,1,8/26/2021
10364,300,1,8/26/2021
10365,0,1,8/26/2021
10366,0,1,8/26/2021
10367,10,1,8/26/2021
10368,250,1,8/26/2021
10369,55,1,8/26/2021
10370,140,1,8/26/2021
10371,300,1,8/26/2021
10372,0,1,8/26/2021
10373,0,1,8/26/2021
10374,0,1,8/26/2021
10375,700,1,8/26/2021
10376,400,1,8/26/2021
10377,0,1,8/26/2021
10378,0,1,8/26/2021
10379,0,1,8/26/2021
10380,0,1,8/26/2021
10381,80,1,8/26/2021
10382,975,1,8/26/2021
10383,0,1,8/26/2021
10384,10,1,8/26/2021
10385,80,1,8/26/2021
10386,0,1,8/26/2021
10387,0,1,8/26/2021
10388,25,1,8/26/2021
10389,0,1,8/26/2021
10390,0,1,8/26/2021
10391,0,1,8/26/2021
10392,0,1,8/26/2021
10393,90,1,8/26/2021
10394,15,1,8/26/2021
10395,0,1,8/26/2021
10396,0,1,8/26/2021
10397,0,1,8/26/2021
10398,0,1,8/26/2021
10399,0,1,8/26/2021
10400,120,1,8/26/2021
10401,0,1,8/26/2021
10402,0,1,8/26/2021
10403,0,1,8/26/2021
10404,15,1,8/26/2021
10405,230,1,8/26/2021
10406,0,1,8/26/2021
10407,0,1,8/26/2021
10408,0,1,8/26/2021
10409,540,1,8/26/2021
10410,80,1,8/26/2021
10411,0,1,8/26/2021
10412,0,1,8/26/2021
10413,0,1,8/26/2021
10414,0,1,8/26/2021
10415,0,1,8/26/2021
10416,0,1,8/26/2021
10417,475,1,8/26/2021
10418,15,1,8/26/2021
10419,25,1,8/26/2021
10420,0,1,8/26/2021
10421,575,1,8/26/2021
10422,15,1,8/26/2021
10423,60,1,8/26/2021
10424,600,1,8/26/2021
10425,900,1,8/26/2021
10426,325,1,8/26/2021
10427,0,1,8/26/2021
10428,0,1,8/26/2021
10429,12,1,8/26/2021
10430,0,1,8/26/2021
10431,0,1,8/26/2021
10432,0,1,8/26/2021
10433,0,1,8/26/2021
10434,0,1,8/26/2021
10435,0,1,8/26/2021
10436,0,1,8/26/2021
10437,0,1,8/26/2021
10438,20,1,8/26/2021
10439,12,1,8/26/2021
10440,70,1,8/26/2021
10441,25,1,8/26/2021
10442,0,1,8/26/2021
10443,0,1,8/26/2021
10444,0,1,8/26/2021
10445,25,1,8/26/2021
10446,0,1,8/26/2021
10447,50,1,8/26/2021
10448,600,1,8/26/2021
10449,225,1,8/26/2021
10450,50,1,8/26/2021
10451,0,1,8/26/2021
10452,0,1,8/26/2021
10453,390,1,8/26/2021
10454,0,1,8/26/2021
10455,80,1,8/26/2021
10456,110,1,8/26/2021
10457,0,1,8/26/2021
10458,20,1,8/26/2021
10459,0,1,8/26/2021
10460,0,1,8/26/2021
10461,250,1,8/26/2021
10462,0,1,8/26/2021
10463,0,1,8/26/2021
10464,150,1,8/26/2021
10465,60,1,8/26/2021
10466,65,1,8/26/2021
10467,0,1,8/26/2021
10468,60,1,8/26/2021
10469,55,1,8/26/2021
10470,180,1,8/26/2021
10471,180,1,8/26/2021
10472,600,1,8/26/2021
10473,90,1,8/26/2021
10474,10,1,8/26/2021
10475,10,1,8/26/2021
10476,600,1,8/26/2021
10477,0,1,8/26/2021
10478,325,1,8/26/2021
10479,775,1,8/26/2021
10480,0,1,8/26/2021
10481,475,1,8/26/2021
10482,0,1,8/26/2021
10483,180,1,8/26/2021
10484,0,1,8/26/2021
10485,675,1,8/26/2021
10486,85,1,8/26/2021
10487,25,1,8/26/2021
10488,0,1,8/26/2021
10489,0,1,8/26/2021
10490,540,1,8/26/2021
10491,475,1,8/26/2021
10492,0,1,8/26/2021
10493,0,1,8/26/2021
10494,225,1,8/26/2021
10495,0,1,8/26/2021
10496,70,1,8/26/2021
10497,0,1,8/26/2021
10498,0,1,8/26/2021
10499,25,1,8/26/2021
10500,700,1,8/26/2021
10501,0,1,8/26/2021
10502,60,1,8/26/2021
10503,180,1,8/26/2021
10504,0,1,8/26/2021
10505,390,1,8/26/2021
10506,0,1,8/26/2021
10507,0,1,8/26/2021
10508,0,1,8/26/2021
10509,650,1,8/26/2021
10510,825,1,8/26/2021
10511,0,1,8/26/2021
10512,0,1,8/26/2021
10513,55,1,8/26/2021
10514,0,1,8/26/2021
10515,180,1,8/26/2021
10516,0,1,8/26/2021
10517,0,1,8/26/2021
10518,400,1,8/26/2021
10519,180,1,8/26/2021
10520,0,1,8/26/2021
10521,0,1,8/26/2021
10522,300,1,8/26/2021
10523,675,1,8/26/2021
10524,12,1,8/26/2021
10525,120,1,8/26/2021
10526,120,1,8/26/2021
10527,10,1,8/26/2021
10528,0,1,8/26/2021